crsp_fundno,caldt,dnav,dret
016417,12/31/2008,101.9486000,-0.001979
016417,01/02/2009,101.4877000,-0.004521
016417,01/05/2009,101.4983000,0.000104
016417,01/06/2009,101.7732000,0.002708
016417,01/07/2009,102.0501000,0.002721
016417,01/08/2009,102.2265000,0.001729
016417,01/09/2009,102.2902000,0.000623
016417,01/12/2009,102.5806000,0.002839
016417,01/13/2009,102.4772000,-0.001008
016417,01/14/2009,102.6404000,0.001593
016417,01/15/2009,102.6055000,-0.000340
016417,01/16/2009,102.3644000,-0.002350
016417,01/20/2009,102.2406000,-0.001209
016417,01/21/2009,101.6855000,-0.005429
016417,01/22/2009,101.4026000,-0.002782
016417,01/23/2009,101.2730000,-0.001278
016417,01/26/2009,101.2525000,-0.000202
016417,01/27/2009,101.6784000,0.004206
016417,01/28/2009,101.3179000,-0.003545
016417,01/29/2009,100.8945000,-0.004179
016417,01/30/2009,100.8126000,-0.000812
016417,02/02/2009,100.8897000,0.004393
016417,02/03/2009,100.5007000,-0.003856
016417,02/04/2009,100.2855000,-0.002141
016417,02/05/2009,100.3736000,0.000878
016417,02/06/2009,100.2295000,-0.001436
016417,02/09/2009,100.2605000,0.000309
016417,02/10/2009,100.9180000,0.006558
016417,02/11/2009,101.1671000,0.002468
016417,02/12/2009,101.3103000,0.001415
016417,02/13/2009,100.7454000,-0.005576
016417,02/17/2009,101.3956000,0.006454
016417,02/18/2009,101.0382000,-0.003525
016417,02/19/2009,100.5949000,-0.004387
016417,02/20/2009,100.7895000,0.001934
016417,02/23/2009,100.7462000,-0.000430
016417,02/24/2009,100.6811000,-0.000646
016417,02/25/2009,100.2901000,-0.003884
016417,02/26/2009,100.1898000,-0.001000
016417,02/27/2009,100.0553000,-0.001342
016417,03/02/2009,100.0598000,0.003313
016417,03/03/2009,99.9420000,-0.001177
016417,03/04/2009,99.6585000,-0.002837
016417,03/05/2009,100.1773000,0.005206
016417,03/06/2009,100.0928000,-0.000844
016417,03/09/2009,99.8026000,-0.002899
016417,03/10/2009,99.6286000,-0.001743
016417,03/11/2009,99.7247000,0.000965
016417,03/12/2009,99.8278000,0.001034
016417,03/13/2009,99.7353000,-0.000927
016417,03/16/2009,99.5939000,-0.001418
016417,03/17/2009,99.4384000,-0.001561
016417,03/18/2009,100.7399000,0.013089
016417,03/19/2009,100.6687000,-0.000707
016417,03/20/2009,100.5968000,-0.000714
016417,03/23/2009,100.5872000,-0.000095
016417,03/24/2009,100.6613000,0.000737
016417,03/25/2009,100.3925000,-0.002670
016417,03/26/2009,100.6305000,0.002371
016417,03/27/2009,100.6528000,0.000222
016417,03/30/2009,100.8273000,0.001734
016417,03/31/2009,100.9369000,0.001087
016417,04/01/2009,100.7306000,0.001434
016417,04/02/2009,100.5536000,-0.001757
016417,04/03/2009,100.1541000,-0.003973
016417,04/06/2009,100.1540000,-0.000001
016417,04/07/2009,100.3454000,0.001911
016417,04/08/2009,100.5906000,0.002444
016417,04/09/2009,100.4205000,-0.001691
016417,04/13/2009,100.8356000,0.004134
016417,04/14/2009,101.2123000,0.003736
016417,04/15/2009,101.3624000,0.001483
016417,04/16/2009,101.2124000,-0.001480
016417,04/17/2009,100.8581000,-0.003501
016417,04/20/2009,101.2134000,0.003523
016417,04/21/2009,101.0019000,-0.002090
016417,04/22/2009,100.8326000,-0.001676
016417,04/23/2009,101.0019000,0.001679
016417,04/24/2009,100.8897000,-0.001111
016417,04/27/2009,101.2118000,0.003193
016417,04/28/2009,100.9709000,-0.002380
016417,04/29/2009,100.7999000,-0.001694
016417,04/30/2009,100.9405000,0.001395
016417,05/01/2009,100.4523000,-0.001573
016417,05/04/2009,100.5899000,0.001370
016417,05/05/2009,100.7616000,0.001707
016417,05/06/2009,100.9105000,0.001478
016417,05/07/2009,100.6078000,-0.003000
016417,05/08/2009,100.6803000,0.000721
016417,05/11/2009,101.1333000,0.004499
016417,05/12/2009,101.2393000,0.001048
016417,05/13/2009,101.5217000,0.002789
016417,05/14/2009,101.4611000,-0.000597
016417,05/15/2009,101.4752000,0.000139
016417,05/18/2009,101.2200000,-0.002515
016417,05/19/2009,101.3198000,0.000986
016417,05/20/2009,101.6536000,0.003295
016417,05/21/2009,101.2555000,-0.003916
016417,05/22/2009,101.0127000,-0.002398
016417,05/26/2009,100.8493000,-0.001618
016417,05/27/2009,100.2414000,-0.006028
016417,05/28/2009,100.2239000,-0.000175
016417,05/29/2009,101.2893000,0.010630
016417,06/01/2009,100.3161000,-0.006564
016417,06/02/2009,100.6299000,0.003128
016417,06/03/2009,100.9793000,0.003472
016417,06/04/2009,100.4308000,-0.005432
016417,06/05/2009,99.7006000,-0.007271
016417,06/08/2009,99.4924000,-0.002088
016417,06/09/2009,99.7154000,0.002241
016417,06/10/2009,99.4643000,-0.002518
016417,06/11/2009,99.7646000,0.003019
016417,06/12/2009,100.1236000,0.003598
016417,06/15/2009,100.5492000,0.004251
016417,06/16/2009,100.7857000,0.002352
016417,06/17/2009,101.0230000,0.002355
016417,06/18/2009,100.2130000,-0.008018
016417,06/19/2009,100.5005000,0.002869
016417,06/22/2009,100.9232000,0.004206
016417,06/23/2009,101.0838000,0.001591
016417,06/24/2009,100.9544000,-0.001280
016417,06/25/2009,101.4682000,0.005089
016417,06/26/2009,101.6168000,0.001464
016417,06/29/2009,101.6356000,0.000185
016417,06/30/2009,101.5980000,-0.000370
016417,07/01/2009,101.2825000,0.000265
016417,07/02/2009,101.5414000,0.002556
016417,07/06/2009,101.5661000,0.000243
016417,07/07/2009,101.7393000,0.001705
016417,07/08/2009,102.3229000,0.005736
016417,07/09/2009,101.9223000,-0.003915
016417,07/10/2009,102.3897000,0.004586
016417,07/13/2009,102.3231000,-0.000650
016417,07/14/2009,101.8873000,-0.004259
016417,07/15/2009,101.3820000,-0.004959
016417,07/16/2009,101.6289000,0.002435
016417,07/17/2009,101.4517000,-0.001744
016417,07/20/2009,101.8458000,0.003885
016417,07/21/2009,102.3555000,0.005005
016417,07/22/2009,102.1222000,-0.002279
016417,07/23/2009,101.5495000,-0.005608
016417,07/24/2009,101.7305000,0.001782
016417,07/27/2009,101.6330000,-0.000958
016417,07/28/2009,101.8572000,0.002206
016417,07/29/2009,101.8416000,-0.000153
016417,07/30/2009,102.0401000,0.001949
016417,07/31/2009,102.7400000,0.006859
016417,08/03/2009,101.9734000,-0.004208
016417,08/04/2009,101.8570000,-0.001141
016417,08/05/2009,101.5731000,-0.002787
016417,08/06/2009,101.7219000,0.001465
016417,08/07/2009,101.3480000,-0.003676
016417,08/10/2009,101.8026000,0.004486
016417,08/11/2009,102.0694000,0.002621
016417,08/12/2009,102.0280000,-0.000406
016417,08/13/2009,102.4529000,0.004165
016417,08/14/2009,102.6652000,0.002072
016417,08/17/2009,102.8186000,0.001494
016417,08/18/2009,102.5844000,-0.002278
016417,08/19/2009,102.7440000,0.001556
016417,08/20/2009,102.9268000,0.001779
016417,08/21/2009,102.5094000,-0.004055
016417,08/24/2009,102.8185000,0.003015
016417,08/25/2009,103.0240000,0.001999
016417,08/26/2009,103.0877000,0.000618
016417,08/27/2009,103.0315000,-0.000545
016417,08/28/2009,103.1618000,0.001265
016417,08/31/2009,103.4166000,0.002470
016417,09/01/2009,103.1773000,0.000897
016417,09/02/2009,103.5516000,0.003628
016417,09/03/2009,103.3634000,-0.001817
016417,09/04/2009,103.0325000,-0.003201
016417,09/08/2009,103.0674000,0.000339
016417,09/09/2009,103.1018000,0.000334
016417,09/10/2009,103.6415000,0.005235
016417,09/11/2009,103.7064000,0.000626
016417,09/14/2009,103.5368000,-0.001635
016417,09/15/2009,103.4841000,-0.000509
016417,09/16/2009,103.5054000,0.000206
016417,09/17/2009,103.8428000,0.003260
016417,09/18/2009,103.5546000,-0.002775
016417,09/21/2009,103.5456000,-0.000087
016417,09/22/2009,103.7055000,0.001544
016417,09/23/2009,103.8738000,0.001623
016417,09/24/2009,104.0186000,0.001394
016417,09/25/2009,104.1319000,0.001089
016417,09/28/2009,104.2594000,0.001224
016417,09/29/2009,104.2644000,0.000048
016417,09/30/2009,104.2297000,-0.000333
016417,10/01/2009,104.2688000,0.003656
016417,10/02/2009,104.1389000,-0.001246
016417,10/05/2009,104.1947000,0.000536
016417,10/06/2009,104.2370000,0.000406
016417,10/07/2009,104.5071000,0.002591
016417,10/08/2009,104.2679000,-0.002289
016417,10/09/2009,103.7829000,-0.004651
016417,10/12/2009,103.8061000,0.000224
016417,10/13/2009,104.1960000,0.003756
016417,10/14/2009,103.8704000,-0.003125
016417,10/15/2009,103.6913000,-0.001724
016417,10/16/2009,103.8634000,0.001660
016417,10/19/2009,103.9463000,0.000798
016417,10/20/2009,104.2179000,0.002613
016417,10/21/2009,103.9563000,-0.002510
016417,10/22/2009,103.9759000,0.000189
016417,10/23/2009,103.8139000,-0.001558
016417,10/26/2009,103.6018000,-0.002043
016417,10/27/2009,103.9994000,0.003838
016417,10/28/2009,104.1973000,0.001903
016417,10/29/2009,103.8611000,-0.003227
016417,10/30/2009,104.3042000,0.004266
016417,11/02/2009,103.9137000,-0.000640
016417,11/03/2009,103.7044000,-0.002014
016417,11/04/2009,103.5130000,-0.001846
016417,11/05/2009,103.6651000,0.001469
016417,11/06/2009,103.8282000,0.001573
016417,11/09/2009,103.9286000,0.000967
016417,11/10/2009,104.0677000,0.001338
016417,11/11/2009,104.0753000,0.000073
016417,11/12/2009,104.2032000,0.001229
016417,11/13/2009,104.3682000,0.001583
016417,11/16/2009,104.7714000,0.003863
016417,11/17/2009,104.7555000,-0.000152
016417,11/18/2009,104.6239000,-0.001256
016417,11/19/2009,104.6887000,0.000619
016417,11/20/2009,104.6783000,-0.000099
016417,11/23/2009,104.7427000,0.000615
016417,11/24/2009,105.0485000,0.002920
016417,11/25/2009,104.9822000,-0.000631
016417,11/27/2009,105.2950000,0.002980
016417,11/30/2009,105.3956000,0.000955
016417,12/01/2009,104.8171000,-0.002143
016417,12/02/2009,104.6677000,-0.001425
016417,12/03/2009,104.4886000,-0.001711
016417,12/04/2009,104.1292000,-0.003440
016417,12/07/2009,104.3986000,0.002587
016417,12/08/2009,104.6660000,0.002561
016417,12/09/2009,104.5806000,-0.000816
016417,12/10/2009,104.4125000,-0.001607
016417,12/11/2009,104.2887000,-0.001186
016417,12/14/2009,104.2679000,-0.000199
016417,12/15/2009,104.0744000,-0.001856
016417,12/16/2009,104.1472000,0.000699
016417,12/17/2009,104.6352000,0.004686
016417,12/18/2009,104.4457000,-0.001811
016417,12/21/2009,103.9391000,-0.004850
016417,12/22/2009,103.6884000,-0.002412
016417,12/23/2009,103.6627000,-0.000248
016417,12/24/2009,103.3947000,-0.002585
016417,12/28/2009,103.2449000,-0.001449
016417,12/29/2009,103.1033000,0.001550
016417,12/30/2009,103.2576000,0.001497
016417,12/31/2009,103.0641000,-0.001874
016417,01/04/2010,103.1953000,0.001273
016417,01/05/2010,103.6722000,0.004621
016417,01/06/2010,103.5771000,-0.000917
016417,01/07/2010,103.5046000,-0.000700
016417,01/08/2010,103.5954000,0.000877
016417,01/11/2010,103.6380000,0.000411
016417,01/12/2010,104.0668000,0.004137
016417,01/13/2010,103.8041000,-0.002524
016417,01/14/2010,104.0435000,0.002306
016417,01/15/2010,104.2467000,0.001953
016417,01/19/2010,104.1197000,-0.001218
016417,01/20/2010,104.2803000,0.001542
016417,01/21/2010,104.5344000,0.002437
016417,01/22/2010,104.4937000,-0.000389
016417,01/25/2010,104.3663000,-0.001219
016417,01/26/2010,104.3450000,-0.000204
016417,01/27/2010,104.2934000,-0.000495
016417,01/28/2010,104.2747000,-0.000179
016417,01/29/2010,104.5272000,0.002421
016417,02/01/2010,104.0299000,-0.001628
016417,02/02/2010,104.1572000,0.001224
016417,02/03/2010,103.9591000,-0.001902
016417,02/04/2010,104.2818000,0.003104
016417,02/05/2010,104.5066000,0.002156
016417,02/08/2010,104.3221000,-0.001765
016417,02/09/2010,104.1488000,-0.001661
016417,02/10/2010,103.8998000,-0.002391
016417,02/11/2010,103.7850000,-0.001105
016417,02/12/2010,103.9416000,0.001509
016417,02/16/2010,104.0886000,0.001414
016417,02/17/2010,103.8097000,-0.002679
016417,02/18/2010,103.6165000,-0.001861
016417,02/19/2010,103.6553000,0.000374
016417,02/22/2010,103.7356000,0.000775
016417,02/23/2010,104.1420000,0.003918
016417,02/24/2010,104.1095000,-0.000312
016417,02/25/2010,104.2990000,0.001820
016417,02/26/2010,104.5425000,0.002335
016417,03/01/2010,104.2252000,0.000055
016417,03/02/2010,104.3110000,0.000823
016417,03/03/2010,104.3259000,0.000143
016417,03/04/2010,104.3907000,0.000621
