web-scraper-order,web-scraper-start-url,text
"1574014993-11","https://studymoose.com/case-analysis-massey-ferguson-essay","During 1960’s and 70’s Massey was aggressively involved in expanding its operations and building up new assets which was majorly financed by Debts that of short term nature .By 1978 Massey’s Debt/Equity ratio= 214% (Exhibit 4) Same year Massey lost US. $ 262.2 million, management associated this loss to following reasons:"
"1574014993-16","https://studymoose.com/case-analysis-massey-ferguson-essay","Massey Competitors in farm and industry sector included:"
"1574014993-23","https://studymoose.com/case-analysis-massey-ferguson-essay","High interest rates after the 1973 oil crisis and the 1979 energy crisis, the US economy was affected by stagflation. In an effort to fight excessive inflation, the Fed adopted a tight monetary policy, raising interest rates (as an illustration, the federal funds rate increased from 11% in 1979 to 20% by June 1981).This affected all players as it led to a plunge of stock market prices, on the one hand, and an economic recession, on the other. Furthermore, Massey was particularly hit hard: since it mainly financed its operations with short-term debt, its financing cost went up dramatically."
"1574014993-31","https://studymoose.com/case-analysis-massey-ferguson-essay","Alternatives Available:

The major alternatives available to MF are:"
"1574014993-32","https://studymoose.com/case-analysis-massey-ferguson-essay","1) Merger:

Under the current scenario, no company will be ready to merger with MF as:

Company’s shares worth was around $100 million but at the same times additional capital of $ 500 million was required to carry on operations which was not possible under the current circumstances."
"1574014993-30","https://studymoose.com/case-analysis-massey-ferguson-essay","What was more unusual was the fact that it used short-term debt to finance its business operations, fixed asset capital maintenance, and long-term principal and interest repayments. As a result, Massey was much more affected by the increase in interest rates than that of its competitors where MF lost its edge. Cost of debt of MF in 1980 was 229.9 million $ compared to net income of 225.2 million $ that shows the real story."
"1574014993-19","https://studymoose.com/case-analysis-massey-ferguson-essay","Therefore if the farm equipment market were to weaken, relatively, Massey Ferguson would find itself in a less favorable position. Along with the increase of risk on projects, the heavy use of debt financing also restricted Massey Ferguson’s financial flexibility. Massey Ferguson’s debt finance structure is spread out among 21 different lending institutions in over nine countries. Each one of these lenders having debt covenants of their own with the arrangement that if one of these covenants were to be broken all of Massey Ferguson’s debt becomes callable."
"1574014993-24","https://studymoose.com/case-analysis-massey-ferguson-essay","2) Low demand"
"1574014993-1","https://studymoose.com/case-analysis-massey-ferguson-essay","Massey Ferguson Limited an International producer of Farm machinery and diesel engine started its operations way back in 1847 and by the end of 19th century they had operations throughout 31 countries of the world. In 1978 Company had financial loss of US. $262.2 million ."
"1574014993-8","https://studymoose.com/case-analysis-massey-ferguson-essay","It is quite obvious as Massey got $360 million contract to update Peru’s tractor and diesel engine industry."
"1574014993-4","https://studymoose.com/case-analysis-massey-ferguson-essay","Massey’s product line consisted of tractors, combine harvesters, balers, forage harvesters, agriculture implements, farmstead equipments and other equipment for agricultural use. Industrial line consisted of Industrial tractors, loaders, rough terrain forklifts, skid steer loaders, utility loaders and skidders."
"1574014993-35","https://studymoose.com/case-analysis-massey-ferguson-essay","3) Liquidation:

If MF goes for Liquidation option same situation remains that:

Stakeholders will not get anything out of it as already company’s financial value is very much down to $5 from 25$ $ 1 million receivables and inventories will not be going to pay at their full that is again loss for the stakeholders. Under the current financial circumstances MF value will further go down if liquidation option is to be considered."
"1574014993-28","https://studymoose.com/case-analysis-massey-ferguson-essay","4) Capital structure:"
"1574014993-37","https://studymoose.com/case-analysis-massey-ferguson-essay","Converting debts to equitie

Government Guarantee

Sweeteners with new debts."
"1574014993-15","https://studymoose.com/case-analysis-massey-ferguson-essay","3) Comparative Strategy:"
"1574014993-14","https://studymoose.com/case-analysis-massey-ferguson-essay","Beside this loss company laid off their employees from 68,000 to 47,000, reduced inventories from US $.1083.2 to US $.988.9 million, 24 plants were closed. Despite all these moves there were continuous losses all around the world especially on operations that was approx US $35.4 million or US $.2.38/share. At the end of first 3 quarters of 1980 company had unfavorable loss of US $ 62 million including currency adjustments of U.S $ 37 million."
"1574014993-22","https://studymoose.com/case-analysis-massey-ferguson-essay","1) Market-wide problems:"
"1574014993-18","https://studymoose.com/case-analysis-massey-ferguson-essay","Medium and small enterprises, conducting business locally with restricted range of products.

Named: Deere & co and International harvesters. Massey was traditionally ranked 3 rd in sales of farm equipment behind Deere & Co and International Harvesters. However in 80’s Massey occupied 2nd position in market for small tractors and combine harvesters. In contrast with its competitors, Massey Ferguson chose to finance its expansionary agenda primarily through debt offerings and short term credit lines. This type of structuring had very detrimental implications for Massey Ferguson. The use of so much leverage would increase the risk of the projects they were undertaking beyond the industry standard. Firms in the same industry such as Deere and International Harvester throughout the 1976-1980 period maintained debt/capital and STD/capital percentages consistently lower than Massey Ferguson (a trend that exacerbated as time went on)."
"1574014993-13","https://studymoose.com/case-analysis-massey-ferguson-essay","Imposition of Monetary policies and credit restrictions in Argentina and Brazil, which ultimately causes sales to decline. Decline in North American natives’ income and higher prices of products."
"1574014993-21","https://studymoose.com/case-analysis-massey-ferguson-essay","What went wrong?"
"1574014993-29","https://studymoose.com/case-analysis-massey-ferguson-essay","• Massey’s financing choices over the years brought with them many problems, which aggravated the already grim situation in the product markets. First, during its expansion in the1970’s, Massey levered itself immensely. Compared to its two main competitors, it systematically had the highest Total Debt/Capital ratio (in 1980: 80.85% compared to 53.56% for International Harvester and 40.28% for Deere & Company). While this might have been justified by the growth strategy, it turned out to be very damaging for the company in view of the current situation."
"1574014993-6","https://studymoose.com/case-analysis-massey-ferguson-essay","17% market share worldwide in tractors.

14% market for combines.

13% in Industry machinery."
"1574014993-41","https://studymoose.com/case-analysis-massey-ferguson-essay","Competitors strategies should be monitored while designing financial structure, don’t act short sighted."
"1574014993-36","https://studymoose.com/case-analysis-massey-ferguson-essay","4) Refinancing:

The last considerable option to MF was refinancing the capital structure so as to bring in the balance between the equity and debt structure. But under the circumstances bringing in stocks will not be easy consideration as investors will not be ready to finance such project which is already close to be defaulted. So company can consider"
"1574014993-10","https://studymoose.com/case-analysis-massey-ferguson-essay","2) Financial Strategy:"
"1574014993-26","https://studymoose.com/case-analysis-massey-ferguson-essay","3) Exchange rate:"
"1574014993-5","https://studymoose.com/case-analysis-massey-ferguson-essay","In 1980 Massey was holding"
